Date,Open,High,Low,Close,Adj Close
2021-01-01,28994.00977,29600.62695,28803.58594,29374.15234,29374.15234
2021-01-02,29376.45508,33155.11719,29091.18164,32127.26758,32127.26758
2021-01-03,32129.4082,34608.55859,32052.31641,32782.02344,32782.02344
2021-01-04,32810.94922,33440.21875,28722.75586,31971.91406,31971.91406
2021-01-05,31977.04102,34437.58984,30221.1875,33992.42969,33992.42969
2021-01-06,34013.61328,36879.69922,33514.03516,36824.36328,36824.36328
2021-01-07,36833.875,40180.36719,36491.19141,39371.04297,39371.04297
2021-01-08,39381.76563,41946.73828,36838.63672,40797.60938,40797.60938
2021-01-09,40788.64063,41436.35156,38980.875,40254.54688,40254.54688
2021-01-10,40254.21875,41420.19141,35984.62891,38356.44141,38356.44141
2021-01-11,38346.53125,38346.53125,30549.59961,35566.65625,35566.65625
2021-01-12,35516.35938,36568.52734,32697.97656,33922.96094,33922.96094
2021-01-13,33915.12109,37599.96094,32584.66797,37316.35938,37316.35938
2021-01-14,37325.10938,39966.40625,36868.5625,39187.32813,39187.32813
2021-01-15,39156.70703,39577.71094,34659.58984,36825.36719,36825.36719
2021-01-16,36821.64844,37864.36719,35633.55469,36178.14063,36178.14063
2021-01-17,36163.64844,36722.35156,34069.32031,35791.27734,35791.27734
2021-01-18,35792.23828,37299.28516,34883.84375,36630.07422,36630.07422
2021-01-19,36642.23438,37755.89063,36069.80469,36069.80469,36069.80469
2021-01-20,36050.11328,36378.32813,33570.47656,35547.75,35547.75
2021-01-21,35549.39844,35552.67969,30250.75,30825.69922,30825.69922
2021-01-22,30817.625,33811.85156,28953.37305,33005.76172,33005.76172
2021-01-23,32985.75781,33360.97656,31493.16016,32067.64258,32067.64258
2021-01-24,32064.37695,32944.00781,31106.68555,32289.37891,32289.37891
2021-01-25,32285.79883,34802.74219,32087.78711,32366.39258,32366.39258
2021-01-26,32358.61328,32794.55078,31030.26563,32569.84961,32569.84961
2021-01-27,32564.0293,32564.0293,29367.13867,30432.54688,30432.54688
2021-01-28,30441.04102,31891.30078,30023.20703,31649.60547,31649.60547
2021-01-29,34318.67188,38406.26172,32064.81445,34316.38672,34316.38672
2021-01-30,34295.93359,34834.70703,32940.1875,34269.52344,34269.52344
2021-01-31,34270.87891,34288.33203,32270.17578,33114.35938,33114.35938
2021-02-01,33114.57813,34638.21484,32384.22852,33537.17578,33537.17578
2021-02-02,33533.19922,35896.88281,33489.21875,35510.28906,35510.28906
2021-02-03,35510.82031,37480.1875,35443.98438,37472.08984,37472.08984
2021-02-04,37475.10547,38592.17578,36317.5,36926.06641,36926.06641
2021-02-05,36931.54688,38225.90625,36658.76172,38144.30859,38144.30859
2021-02-06,38138.38672,40846.54688,38138.38672,39266.01172,39266.01172
2021-02-07,39250.19141,39621.83594,37446.15234,38903.44141,38903.44141
2021-02-08,38886.82813,46203.92969,38076.32422,46196.46484,46196.46484
2021-02-09,46184.99219,48003.72266,45166.96094,46481.10547,46481.10547
2021-02-10,46469.76172,47145.56641,43881.15234,44918.18359,44918.18359
2021-02-11,44898.71094,48463.46875,44187.76172,47909.33203,47909.33203
2021-02-12,47877.03516,48745.73438,46424.97656,47504.85156,47504.85156
2021-02-13,47491.20313,48047.74609,46392.28125,47105.51563,47105.51563
2021-02-14,47114.50781,49487.64063,47114.50781,48717.28906,48717.28906
2021-02-15,48696.53516,48875.57031,46347.47656,47945.05859,47945.05859
2021-02-16,47944.45703,50341.10156,47201.30469,49199.87109,49199.87109
2021-02-17,49207.27734,52533.91406,49072.37891,52149.00781,52149.00781
2021-02-18,52140.97266,52474.10547,51015.76563,51679.79688,51679.79688
2021-02-19,51675.98047,56113.65234,50937.27734,55888.13281,55888.13281
2021-02-20,55887.33594,57505.22656,54626.55859,56099.51953,56099.51953
2021-02-21,56068.56641,58330.57031,55672.60938,57539.94531,57539.94531
2021-02-22,57532.73828,57533.39063,48967.56641,54207.32031,54207.32031
2021-02-23,54204.92969,54204.92969,45290.58984,48824.42578,48824.42578
2021-02-24,48835.08594,51290.13672,47213.5,49705.33203,49705.33203
2021-02-25,49709.08203,51948.96875,47093.85156,47093.85156,47093.85156
2021-02-26,47180.46484,48370.78516,44454.84375,46339.76172,46339.76172
2021-02-27,46344.77344,48253.26953,45269.02734,46188.45313,46188.45313
2021-02-28,46194.01563,46716.42969,43241.61719,45137.76953,45137.76953
2021-03-01,45159.50391,49784.01563,45115.09375,49631.24219,49631.24219
2021-03-02,49612.10547,50127.51172,47228.84375,48378.98828,48378.98828
2021-03-03,48415.81641,52535.13672,48274.32031,50538.24219,50538.24219
2021-03-04,50522.30469,51735.08984,47656.92969,48561.16797,48561.16797
2021-03-05,48527.03125,49396.42969,46542.51563,48927.30469,48927.30469
2021-03-06,48899.23047,49147.21875,47257.52734,48912.38281,48912.38281
2021-03-07,48918.67969,51384.36719,48918.67969,51206.69141,51206.69141
2021-03-08,51174.11719,52314.07031,49506.05469,52246.52344,52246.52344
2021-03-09,52272.96875,54824.11719,51981.83203,54824.11719,54824.11719
